userName,score,at,content
Jayesh Mankar,1,2026-07-28 20:45:10,whenever i order from swiggy some problem will come. I don't know why they are taking orders if they cannot fulfill. Just go with zomato.
Sachin Kumar,5,2026-07-28 20:43:50,nice to meet
Ayush Agrawal,1,2026-07-28 20:43:15,"Swiggy used to be my favourite food ordering platform, but I'm really disappointed now. Whenever I try to report an issue with my order, I'm only connected to a chatbot. There is no option to talk to a real human, and my problems never get resolved. I never expected this from Swiggy. Customer support shouldn't rely only on chatbots. Please bring back proper human assistance."
Tarun Rohila,5,2026-07-28 20:43:11,good
Ashutosh prabhakar,1,2026-07-28 20:42:35,one of worst app and customer support service
Vikram Pal,5,2026-07-28 20:42:01,mast hai
Rohit Chouhan,5,2026-07-28 20:39:19,osm
Preeti Priyadarshi,4,2026-07-28 20:37:45,good 👍
Rwittika Roychowdhury,1,2026-07-28 20:37:42,"worst app ever. ordered express delivery so that order reaches me faster by paying money, it was supposed to reach within 35 mints, but reached 50 mints later."
Deepak Singh,5,2026-07-28 20:37:14,good
Kusho Kumar,5,2026-07-28 20:36:46,good
kunal prajapati,5,2026-07-28 20:35:10,fast service
Usha Kumari Patibanda,5,2026-07-28 20:35:10,good
Garima Gupta,5,2026-07-28 20:33:34,good
Raj Chavan,1,2026-07-28 20:33:04,"Swiggy has been going from bad to worse with each passing day, but their latest stunt takes the cake — unsolicited promotional calls, and that too late at night. I used Swiggy for food delivery, not to become a target for their marketing team's cold-calling campaign. Receiving advertisement calls at odd hours is not just annoying; it's intrusive and disrespectful. There is absolutely no regard for customer privacy or basic etiquette. The app experience itself has also been declining — delayed de"
AMMUKARUVA Ammu,4,2026-07-28 20:32:49,suppar
Suprita Dash,1,2026-07-28 20:31:00,"hey ! your service is pathetic. if you dont have delivery partner then don't take order. I had paid online but no delivery partner till 1hr due to rain. ok we understand. but what about the cancellation policy. your cancellation fees is also the actual amount that i had paid. No toll free no. nothing. This is very irritating. when i am calling to resturant, they said they will get me deliver."
Sankar Saha,5,2026-07-28 20:30:48,ok
Neena Bilaiya,1,2026-07-28 20:30:20,it was showing Rs150 but when paying it became Rs176
Mukhadar Pasha,5,2026-07-28 20:30:14,food Delivery Best site
Mohammad Haroon Nasir,5,2026-07-28 20:29:59,awesome
pksa pksa,5,2026-07-28 20:29:45,super 🥰🥰🥰🥰🥰🥰🥰🥰
Sandip Sarkar,5,2026-07-28 20:28:40,👍
Tapo Raj Chetri,1,2026-07-28 20:27:36,"when I misclicked on cash on delivery while selecting the mode of payment , it placed the order itself , n when I asked to cancel the order , they charged me full price for delivery on my next order as cancellation fee , pos terms n conditions."
Ashutosh Argal (Ashu),1,2026-07-28 20:26:44,loda app
Sachin Mishra,5,2026-07-28 20:24:26,very good app
KRISHNA V3 KID,5,2026-07-28 20:23:22,Good
Vaishnavi Vaishu,4,2026-07-28 20:23:07,okay
Ravi Rathod,5,2026-07-28 20:18:16,good
Vicky rathod18,5,2026-07-28 20:17:57,good foods🤤❤️
Brajesh Kumar,5,2026-07-28 20:17:25,ok
Gaurav Anand,3,2026-07-28 20:16:51,I am happy 😊
Nikhil Sharma,5,2026-07-28 20:14:40,👍👍👍👍👍
MANISH KUMAR,5,2026-07-28 20:12:55,good 😊
