userName,score,at,content
Uma Rajpurohit,3,2026-07-28 15:55:54,good
Arun Jatav,5,2026-07-28 01:55:56,good
Kevin Thomas,1,2026-07-25 08:34:55,stupid app. useless
Suman Kumari,1,2026-07-25 05:54:27,"Poor service, food quality is very poor, prices are high, and delivery service is terrible; improvement is needed."
Amritpal Singh,1,2026-07-24 23:08:12,why stopped delivery at jantar mantar?
Simran Pritam,1,2026-07-24 18:48:19,very wrost food delivery app ever....too disgusting....don't use this app
Ayush Singh,1,2026-07-24 17:19:40,worst
KRISHNA RATHOR,1,2026-07-24 10:13:12,shame on you
Dark Specter,1,2026-07-24 01:48:38,why not taking order in jantar mantar
Zahara kausar,4,2026-07-23 00:04:23,awesome 💯
Zak Khan,5,2026-07-23 00:03:25,good 😊
Aarefa Rangrej,5,2026-07-23 00:03:04,👍
shubham shubham,5,2026-07-23 00:01:47,nice 👍
Shivam Nagar,5,2026-07-22 23:57:55,like it
Bablu Singh,5,2026-07-22 23:56:21,very good 👍
Ahir Vipul,1,2026-07-22 23:52:05,jantar mantar aandolan me khana kam bhej rahe ho paise pure le rahe ho
_Ashmita_ Singh_,1,2026-07-22 23:51:34,"Zomato never takes any action against the restaurant. Restaurant send whatever quality and quantity they want to send.I have ordered a 500gm cake and the restaurant sent me a cake ofonly 345grams,see the reply After carefully reviewing the details of your order, we regret to inform you that we're unable to take further action in this case. We truly apologize for any inconvenience this may have caused. Please know that we've flagged this internally to help prevent similar issues in the future."
Manmohan Kaur,1,2026-07-22 23:50:41,tax and handling charges are high
Shubham Raut,5,2026-07-22 23:48:02,cash on delivery
Uday Kumar,5,2026-07-22 23:45:45,fast login and fast service
Faiju Rahman,5,2026-07-22 23:43:28,best 💯
Abhay Sharma,1,2026-07-22 23:43:15,pathetic 2 hours delay several delivery boys assigned use swiggy instead
Khushboo Sisodiya,5,2026-07-22 23:31:13,easy to order
KAVYA DAS,5,2026-07-22 23:29:33,good
Vijay kumar Munda,5,2026-07-22 23:27:59,thank you so much sir aap itna support kar rahe ho
Vishnu Bhuriya,5,2026-07-22 23:27:37,good
Altu Qureshi,5,2026-07-22 23:27:16,good
Aravind Babu,5,2026-07-22 23:23:32,good 👍
Salomi Binil,5,2026-07-22 23:21:51,good 🙏
Vishal Patel,5,2026-07-22 23:20:46,Good Service
Kulvir Kumar,5,2026-07-22 23:19:39,very good service
Yash Jain,5,2026-07-22 23:19:05,very good 😊
Bhavesh Bhane,1,2026-07-22 23:16:23,"The Zomato app is absolutely terrible. I ordered food, but even after two hours, I still haven't received it; the delivery partner isn't answering calls, and their location hasn't moved for an hour and a half."
rupali parida,3,2026-07-22 23:14:38,very good
Saddam Hussain,4,2026-07-22 23:13:39,helpful
Amit Dahiya,5,2026-07-22 23:11:11,all good 👍 👌
SHRAWANSINGH RAJPUT (SHRAWAN SINGH RAJPUT),5,2026-07-22 23:09:40,good
Bhanu Veekshitha,1,2026-07-22 23:09:29,its time waste..and I'm faced worest experience.not giving orders in zomato... Swiggy is the best for time and good quality..
Chintu Das,5,2026-07-22 23:08:43,very good
Nebin Joseph,1,2026-07-22 23:07:40,i ordered an honey alfam mandhi and when the order came it was only mandhi rice and i try to complaint it they are not responsible for it very bad experience dont use this app my 330 rs gone bad customercare service...
Omkar Singh Yadav,1,2026-07-22 23:01:45,very poor service
Gourav Mali,5,2026-07-22 23:01:38,best app
Bhanu Pratap Dhaka,1,2026-07-22 23:01:00,"fraud delivery person's no response from zomato customer care , verry disrepectfull"
S.k Sharma,4,2026-07-22 23:00:54,nice
Rajput boy,1,2026-07-22 23:00:07,zamato se ghatiya service or kahi nhi mil sakti ek dum ghatiya na koi no h inka bakwas bas
Sharvan Kumar,5,2026-07-22 22:59:56,very good 👍
Harish,5,2026-07-22 22:59:38,thank
vittal kamani,1,2026-07-22 22:59:16,"worst service, zomato is fraud . don't install this app. in zomato most delivery partner is fraud,no order delivery but show on zomato delivered and no money ,time waste"
Sonu Shaw,5,2026-07-22 22:58:42,great
Kewal Thakur,5,2026-07-22 22:58:25,nice
Md amjad Alam,5,2026-07-22 22:57:32,best
Amitabh Chaturvedi,3,2026-07-22 22:57:01,i have faced many problems to order my food it is very complex
Indrajeet sharma,5,2026-07-22 22:55:51,good
Babulal Bhadu,5,2026-07-22 22:53:58,thank you very good service
pankaj darade,1,2026-07-22 22:53:36,"thirdclass service...U cannot call to zomato as they don't have calling service, wrong food item delivered but got compensation of only 180 Rs while the food item i ordered was 670 around....the delivery boy also not picked up the call"
Sivaprasad VR,1,2026-07-22 22:52:13,they are not allowing us to connect with a customer service associate. if we do not receive our order or if an item is missing our money is gone. we can only send out an email.
Jagdish Singh,5,2026-07-22 22:50:49,Best app to order the food when u are hungry thanks for ur help zomato
Abhisarika Bompem,4,2026-07-22 22:48:08,super
Swarup Dey,5,2026-07-22 22:48:04,Nice 👍👍🙂🙂🙂
sachin kumar,1,2026-07-22 22:47:12,"bekar app .. same problem with different number of people. no solution of problem, no improvement in problem solving"
Aryan Yadav,5,2026-07-22 22:45:09,ok
Bimol Boruah,5,2026-07-22 22:42:03,good 👍
kashish Yadav,5,2026-07-22 22:41:36,🌟🌟🌟🌟🌟
gopinath pasula120,1,2026-07-22 22:40:36,Fraud app.. Zomato people will play with customers
Barasha Haloi,1,2026-07-22 22:34:59,very bad app... I ordered food but i did not received the food... delivery partner enjoyed my food...there is no otp system after prepaid on this app...3rd class app...chiiiiiiiiiiiiiiii🤮🤮🤮🤮🤮🤮🤮🤮
Kavita Dhakul,3,2026-07-22 22:34:35,good
Sonu Nagar,5,2026-07-22 22:34:22,jaldi pauch jao bas
Pranav Kalkutki,5,2026-07-22 22:33:28,nice 👍
Mohammad Imdadullah,5,2026-07-22 22:32:13,best tandoori in ulwe ♥️
Nayana Sathe,4,2026-07-22 22:31:33,ok
Akshu Khillare,5,2026-07-22 22:31:20,👍🏻
Akash Bansal,1,2026-07-22 22:29:49,Don't order after 9 pm 99percent do not assign delivery partner and just waste our time and money
RDS Cabs-Airport taxi,1,2026-07-22 22:29:17,one off the worst service I ever found today I have order 481 rupees order even single person can't feel his hunger such a worst service man... we are struggling to earn 500... rupees in that 500 rupees one person can't full feel his hunger such a stupid thing don't order for RNR biriyani in zomato and other restaurants also iam so sad always they will do same thing this time iam feeling so sad...
Rinku Moyal,4,2026-07-22 22:27:52,Good 👍
Ankit Oraon,5,2026-07-22 22:27:29,great
Amreesh Panwar,5,2026-07-22 22:26:47,gud
saurabh verma,1,2026-07-22 22:26:29,"They are thieves, reported of missing food items so many times but never got justification and refund of missing item,often cancellation of order in the night time, never deliver food on time adding my last review 2 years back... Having the same issues still, they are biggest thrives , never take accountability of spillage or food quality. and charges are always too high"
gangesh jha,1,2026-07-22 22:26:17,poor customer support
Hariom Kumar,4,2026-07-22 22:26:02,Nice 👌👌♥️♥️♥️
Kavi chaudhary,5,2026-07-22 22:24:27,Good
